Variable;Data set #1;Data set #2
N;32;387
Pohlaví (dívky/chlapci);19/13;212/173
Věk (roky);13,39 ± 4,38;13,52 ± 3,76
NP1 Pokus 1-4;42,50 ± 14,95;45,60 ± 17,89
NP1 Oddálené vybavení;15,56 ± 6,05;14,55 ± 6,73
NP2 Pokus 1-4;44,16 ± 14,58;49,03 ± 17,83
NP2 Oddálené vybavení;16,34 ± 5,87;15,68 ± 6,67
NP3 Pokus 1-4;59,50 ± 13,13;61,50 ± 17,60
NP3 Oddálené vybavení;20,50 ± 4,64;19,35 ± 6,14
NP4 Pokus 1-4;61,03 ± 10,44;66,19 ± 11,59
NP4 Oddálené vybavení;17,94 ± 4,33;18,27 ± 4,28
VPaU 1-4;-;38,37 ± 7,35
VPaU 30 min;-;9,81 ± 2,99
Příběhy ok.;-;39,61 ± 16,91
Příběhy 30 min;-;34,29 ± 16,75
Pracovní pam.;-;12,16 ± 5,51
Z-P vnímání;-;24,35 ± 4,00
Orientace v P.;-;40,09 ± 8,59
ToM;13,44 ± 1,98;14,08 ± 1,95
ROCFT kopie;26,72 ± 8,05;-
ROCFT 3;17,52 ± 6,72;-
ROCFT 30;17,33 ± 6,31;-
CMS 1-3;20,56 ± 3,18;-
CMS 30;6,97 ± 1,23;-
BNT spont.;47,97 ± 9,45;-
BNT kategor.;48,69 ± 9,35;-
BNT fonem.;52,28 ± 7,13;-
Kat. fluence;46,06 ± 13,15;-
