test;NP1 Pokus 1-4;NP1 Oddálené vybavení;NP2 Pokus 1-4;NP2 Oddálené vybavení;NP3 Pokus 1-4;NP3 Oddálené vybavení;NP4 Pokus 1-4;NP4 Oddálené vybavení;data_set
ROCFT kopie;0,432 (0,014);0,496 (0,004);0,406 (0,021);0,507 (0,003);0,050 (0,784);0,352 (0,048);0,496 (0,004);0,546 (0,001);Data set #1
ROCFT 3;0,383 (0,031);0,616 (<0,001);0,359 (0,043);0,643 (<0,001);0,081 (0,658);0,489 (0,005);0,422 (0,016);0,655 (<0,001);Data set #1
ROCFT 30;0,258 (0,153);0,464 (0,007);0,235 (0,195);0,470 (0,007);-0,011 (0,951);0,362 (0,042);0,325 (0,069);0,469 (0,007);Data set #1
CMS 1-3;0,125 (0,494);0,265 (0,143);0,107 (0,562);0,311 (0,084);-0,138 (0,451);0,183 (0,315);0,222 (0,223);0,387 (0,029);Data set #1
CMS 30;0,134 (0,464);0,258 (0,154);0,124 (0,498);0,328 (0,067);-0,167 (0,362);0,183 (0,315);0,271 (0,133);0,436 (0,013);Data set #1
BNT spont.;0,258 (0,155);0,378 (0,033);0,259 (0,152);0,426 (0,015);-0,128 (0,485);0,299 (0,097);0,496 (0,004);0,538 (0,001);Data set #1
BNT kategor.;0,259 (0,153);0,378 (0,033);0,262 (0,147);0,424 (0,016);-0,136 (0,459);0,291 (0,106);0,506 (0,003);0,537 (0,002);Data set #1
BNT fonem.;0,257 (0,155);0,397 (0,025);0,257 (0,156);0,450 (0,010);-0,171 (0,348);0,310 (0,085);0,518 (0,002);0,562 (<0,001);Data set #1
Kat. fluence;0,366 (0,040);0,401 (0,023);0,362 (0,042);0,394 (0,026);0,092 (0,618);0,281 (0,119);0,440 (0,012);0,427 (0,015);Data set #1
ToM;0,051 (0,781);0,172 (0,345);0,011 (0,953);0,170 (0,353);-0,219 (0,228);0,067 (0,717);0,135 (0,462);0,218 (0,231);Data set #1
VPaU 1-4;0,390 (<0,001);0,384 (<0,001);0,431 (<0,001);0,418 (<0,001);0,436 (<0,001);0,448 (<0,001);0,408 (<0,001);0,398 (<0,001);Data set #2
VPaU 30 min;0,351 (<0,001);0,403 (<0,001);0,374 (<0,001);0,420 (<0,001);0,362 (<0,001);0,435 (<0,001);0,340 (<0,001);0,376 (<0,001);Data set #2
Příběhy ok.;0,334 (<0,001);0,339 (<0,001);0,385 (<0,001);0,370 (<0,001);0,392 (<0,001);0,366 (<0,001);0,390 (<0,001);0,376 (<0,001);Data set #2
Příběhy 30 min;0,347 (<0,001);0,360 (<0,001);0,400 (<0,001);0,388 (<0,001);0,419 (<0,001);0,402 (<0,001);0,395 (<0,001);0,376 (<0,001);Data set #2
Pracovní pam.;0,416 (<0,001);0,411 (<0,001);0,462 (<0,001);0,441 (<0,001);0,426 (<0,001);0,424 (<0,001);0,457 (<0,001);0,435 (<0,001);Data set #2
Z-P vnímání;0,381 (<0,001);0,407 (<0,001);0,415 (<0,001);0,432 (<0,001);0,387 (<0,001);0,428 (<0,001);0,413 (<0,001);0,405 (<0,001);Data set #2
Orientace v P.;0,325 (<0,001);0,349 (<0,001);0,349 (<0,001);0,351 (<0,001);0,277 (<0,001);0,320 (<0,001);0,366 (<0,001);0,311 (<0,001);Data set #2
ToM;0,240 (<0,001);0,223 (<0,001);0,272 (<0,001);0,248 (<0,001);0,274 (<0,001);0,253 (<0,001);0,275 (<0,001);0,250 (<0,001);Data set #2
