variable	type	test
vek_roky	cont	0_anamneza
skola	cat	0_anamneza
gender	cat	0_anamneza
rukovost	cat	0_anamneza
poradi	cat	0_anamneza
pok1	count	1_verbalni_pamet_a_uceni
pok2	count	1_verbalni_pamet_a_uceni
pok3	count	1_verbalni_pamet_a_uceni
pok4	count	1_verbalni_pamet_a_uceni
pok_1.4	cont	1_verbalni_pamet_a_uceni
opak_1.4	count	1_verbalni_pamet_a_uceni
konfab_1.4	count	1_verbalni_pamet_a_uceni
pok5	count	1_verbalni_pamet_a_uceni
pok6	count	1_verbalni_pamet_a_uceni
pok7	count	1_verbalni_pamet_a_uceni
rekognice_sumHS	count	1_verbalni_pamet_a_uceni
rekog_sumSeznam1	count	1_verbalni_pamet_a_uceni
rekog_nuc_volba	count	1_verbalni_pamet_a_uceni
sum_1_2	cont	2_pamet_na_pribehy_OKAMZITE
pribeh1_ok_sum	cont	2_pamet_na_pribehy_OKAMZITE
pribeh2_ok_sum	cont	2_pamet_na_pribehy_OKAMZITE
sum_1_2	cont	2_pamet_na_pribehy_ODDALENE
pribeh1_odd_sum1	cont	2_pamet_na_pribehy_ODDALENE
pribeh2_odd_sum	cont	2_pamet_na_pribehy_ODDALENE
pok1_sum_corr	cont	3_neverbalni_pamet
suma1_corr.rotace	cont	3_neverbalni_pamet
pok2_sum_corr	cont	3_neverbalni_pamet
suma2_corr.rotace	cont	3_neverbalni_pamet
pok3_sum	cont	3_neverbalni_pamet
sum3_corr.rotace	cont	3_neverbalni_pamet
pok4_sum	cont	3_neverbalni_pamet
suma4_corr.rot	cont	3_neverbalni_pamet
odd_sum	cont	3_neverbalni_pamet
sumodd_corr.rotace	cont	3_neverbalni_pamet
sum_body	cont	4_sluchova_pozornost
opomenuti	count	4_sluchova_pozornost
zamena	count	4_sluchova_pozornost
inhibice	count	4_sluchova_pozornost
HS	cont	5_zrakova_pozornost
n_hlav	count	5_zrakova_pozornost
n_opomenuti	count	5_zrakova_pozornost
n_zamena	count	5_zrakova_pozornost
n_new_rules...2	cont	6_trideni
n_correct_rules...3	cont	6_trideni
pojm_cas	cont	7_inhibice_a_presun_pozornosti
pojm_ukaz_rukou	cat	7_inhibice_a_presun_pozornosti
pojm_neopr_chyby	count	7_inhibice_a_presun_pozornosti
pojm_opr_chyby	count	7_inhibice_a_presun_pozornosti
pojm_sum_chyby	count	7_inhibice_a_presun_pozornosti
inhi_cas	cont	7_inhibice_a_presun_pozornosti
inhi_ukaz_rukou	cat	7_inhibice_a_presun_pozornosti
inhi_neopr_chyby	count	7_inhibice_a_presun_pozornosti
inhi_opr_chyby	count	7_inhibice_a_presun_pozornosti
inhi_sum_chyby	count	7_inhibice_a_presun_pozornosti
presun_cas	cont	7_inhibice_a_presun_pozornosti
presun_ukaz_rukou	cat	7_inhibice_a_presun_pozornosti
presun_neopr_chyby	count	7_inhibice_a_presun_pozornosti
presun_opr_chyby	count	7_inhibice_a_presun_pozornosti
presun_sum_chyby	count	7_inhibice_a_presun_pozornosti
sumaHS	count	8_pracovni_pamet
sumaHS	cont	8_pracovni_pamet
K_sum	count	9_verbalni_fluence
V_sum	count	9_verbalni_fluence
zvire_sum	count	9_verbalni_fluence
switch_sum	count	9_verbalni_fluence
switch_pocet_switch	count	9_verbalni_fluence
celkem_spont	count	10_konfrontacni_pojmenovani
celkem_kat	count	10_konfrontacni_pojmenovani
celkem_fon	count	10_konfrontacni_pojmenovani
celkem_spont.kat	count	10_konfrontacni_pojmenovani
sum_pojm	count	11_vybaveni_s_napovedou
sum_vybav	count	11_vybaveni_s_napovedou
sum_spont_vybav	count	11_vybaveni_s_napovedou
sum_napoveda	count	11_vybaveni_s_napovedou
sum_konfab	count	11_vybaveni_s_napovedou
sum_vybav_spont_napoveda	count	11_vybaveni_s_napovedou
pro_pa_1.8_sum	count	12_prospektivni_pamet
rekogn_sum	count	12_prospektivni_pamet
sumaHS	count	13_porozumeni_pokynum
sumaHS	cont	13_porozumeni_pokynum
prava_r1_celk_cas	cont	15_motoricka_koordinace
prava_r2_celk_cas	cont	15_motoricka_koordinace
prava_r3_celk_cas	cont	15_motoricka_koordinace
prava_r4_celk_cas	cont	15_motoricka_koordinace
leva_r1_celk_cas	cont	15_motoricka_koordinace
leva_r2_celk_cas	cont	15_motoricka_koordinace
leva_r3_celk_cas	cont	15_motoricka_koordinace
leva_r4_celk_cas	cont	15_motoricka_koordinace
chyba_vyjeti_sum	count	16_zrakove_motoricka_presnost
chyba_preruseni_linky	count	16_zrakove_motoricka_presnost
chyba_otoceni_papiru	count	16_zrakove_motoricka_presnost
err_suma	count	16_zrakove_motoricka_presnost
sum_spravne	count	17_zrakove_vnimani
sum_spravne	cont	17_zrakove_vnimani
sum_body	count	18_zrakove_prostorove_vnimani
sum_body	cont	18_zrakove_prostorove_vnimani
sum_body	count	19_orientace_v_prostoru
sum_body	cont	19_orientace_v_prostoru
suma_body	count	20_rozpoznavani_emoci
suma_body	cont	20_rozpoznavani_emoci
sum_body	count	21_teorie_mysli
sum_body	cont	21_teorie_mysli
